"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"qfsz","老杨滑鸡饭 LaoYang Chicken Rice @ Ah Tan White Coffee","Chicken","4.5","(500+)","Shah Alam",""
"kp9o","Restoran Sayur-Sayuran (Vegetarian)","Asian","4.6","(100+)","Shah Alam",""
"rxc9","Rachels Kitchen Signature","Asian","2.5","(6)","Shah Alam",""
"zi69","Restoran Cereka","Chicken","4.7","(500+)","Shah Alam",""
"iuh8","FamilyMart (Famima - Setia Alam Prima)","Japanese","4.4","(500+)","Shah Alam",""
"t54k","Indian food Double Dee Setia Alam","Malaysian","3","(45)","Shah Alam",""
"roiq","XIAO CHAO @ Kymsan Tea Garden","Malaysian","4.5","(100+)","Shah Alam",""
"egyu","Restaurant Ah Tan White Coffee","Coffee","4.6","(62)","Shah Alam",""
"p3ml","Chicken Rice @ NTS Restaurant","Chicken Rice","4.6","(100+)","Shah Alam",""
"wgb7","Auziies Cafe","Indian","4.2","(56)","Shah Alam",""
"b1am","ROJAK AND CENDOL SETIA ALAM","Desserts","4.2","(500+)","Shah Alam",""
"r2cf","Fish Head & Tomyam Noodles @ Ah Tan White Coffee","Chinese","4.8","(100+)","Shah Alam",""
"s5wb","金厨房 Golden Cuisine","Seafood","4.7","(500+)","Shah Alam",""
"p6gl","Gurney Delight","Fried Rice","4.5","(1000+)","Shah Alam",""
"auhj","Restoran Vvip","Asian","5","(5)","Shah Alam",""
"n47z","Na Jie China BBQ - Double D Restaurant [Non-Halal]","Chinese","4.1","(13)","Shah Alam",""
"p1gs","NTS Restaurant (Kota Kemuning)","Coffee","4.9","(100+)","Shah Alam",""
"p5ks","Restoran Bintang Tujuh (Setia Murni)","Malaysian","4.4","(1000+)","Shah Alam",""
"e0ns","Zhen Zhen Yong Tao Foo (Setia Alam)","Malaysian","4.5","(100+)","Shah Alam",""
"ce3b","Restoran Yao Hau Fook 有口福海鲜酒家","Chinese","4.7","(100)","Shah Alam",""
"vj56","Restoran Sri Letchemy Vilas","Indian","3.9","(100+)","Shah Alam",""
"s8tf","Pork Noodles @ Ah Tan White Coffee","Noodles","4.4","(100+)","Shah Alam",""
"ak38","Pakopi 1969 SETIA ALAM","Beverages","4.9","(98)","Shah Alam",""
"vlmh","Hong Dae Ip Gu","Korean","4.9","(100+)","Shah Alam",""
"n3fu","Warung Ummi Setia Alam","Chicken","4.7","(500+)","Shah Alam",""
"n5ob","Pun Chun Noodle House","Noodles","4.4","(500+)","Shah Alam",""
"oh06","Restoran Ahlam Maju","Malaysian","3.7","(64)","Shah Alam",""
"q7rd","Fu Zhou Noodles @ Double D","Chinese","4.4","(100+)","Shah Alam",""
"q9gx","Lan Je Steam Fish (SA) 万撓籣姐一人一鱼","Seafood","4.8","(500+)","Shah Alam",""
"sh28","Yew Pin Chicken Rice","Asian","4.8","(15)","Shah Alam",""
"l7ui","Ikan Bakar @ Double D Restaurant","Seafood","4.9","(26)","Shah Alam",""
"j0ib","Manjoe Taiwanese Dumplings (Kota Kemuning 2)","Dumpling","4.7","(100+)","Shah Alam",""
"b9lq","CRAVINGS RESTAURANT & BAR","Western","4.3","(100+)","Shah Alam",""
"dbwq","Ammass Kitchen @ Double TT Curry House","Indian","4","(100+)","Shah Alam",""
"o5ot","Plate D Meal","Chinese","4.6","(500+)","Shah Alam",""
"x07l","KAPTEN CORNER","Noodles","4.6","(500+)","Shah Alam",""
"dvv8","Village Man 渔村人","Chinese","4.6","(6)","Shah Alam",""
"e7mm","RESTORAN CHE AMAH","Rice Dishes","4.6","(1000+)","Shah Alam",""
"r1lv","Sze Chuan Kingdom","Rice Dishes","4.6","(100+)","Shah Alam",""
"pu0u","Ayam gepuk panazz","0 min","1","(1)","Shah Alam",""
"q8qu","Hokkien Mee Kitchen @ NTS Restaurant","Fried Rice","4.3","(100+)","Shah Alam",""
"o0hz","Spicy Crab","Seafood","4.6","(500+)","Shah Alam",""
"s8b4","RESTAURANT YOYO PING","Asian","4.1","(26)","Shah Alam",""
"l3my","Hong Zhou Roasted Chicken Rice @ Kopitiam 95 Setia Alam","Malaysian","4.5","(100+)","Shah Alam",""
"vbl5","Restaurant MeeTogether","Fried Rice","4.5","(100+)","Shah Alam",""
"xmr8","Penang fried kuey teow@kymsan tea garden","Chinese","4.7","(43)","Shah Alam",""
"p5tc","Nasi Lemak & Economy @ Kymsan Tea Garden","Nasi Lemak","4.5","(100+)","Shah Alam",""
"t5jg","Hailam Wantan Mee @Success Kopitiam","Noodles","4.4","(100+)","Shah Alam",""
"k9hv","Aunty Mary's Nyonya Delights","Asian","4.4","(100+)","Shah Alam",""
"keq4","The Soybean Factory (Kota Kemuning)","Desserts","4.8","(100+)","Shah Alam",""
"i1xr","Haveli Indian Cuisine (Setia Alam)","Indian","3.7","(12)","Shah Alam",""
"o2tr","Restoran Musira 2","Roti Canai","4.6","(3000+)","Shah Alam",""
"n8uk","Iggo","Pasta","4.4","(100+)","Shah Alam",""
"v5ag","Garden Vegetarian Cafe","Vegetarian","4.7","(100+)","Shah Alam",""
"z6te","Rahmat Satay (Setia Alam)","Asian","4.2","(39)","Shah Alam",""
"q7nv","New Gen Restaurant","Chinese","4.4","(1000+)","Shah Alam",""
"zb84","I LOVE HOKKIEN MEE (Setia Alam)","Chinese","4.6","(100+)","Shah Alam",""
"r6io","Yunique Tea @ Kota Kemuning","Beverages","4.6","(1000+)","Shah Alam",""
"bson","Chee Cheong Fun @ Success Kopitiam","Asian","4.8","(60)","Shah Alam",""
"gpjp","PESTLE & MORTAR CAFE","Malaysian","4.5","(500+)","Shah Alam",""
"o1pa","Good Taste Restaurant (Setia Alam)","Chinese","4.6","(1000+)","Shah Alam",""
"chgq","CHAGEE (Kota Kemuning)霸王茶姬","Chinese","4.7","(500+)","Shah Alam",""
"m3oy","OldTown (Setia Alam)","Malaysian","4.6","(2000+)","Shah Alam",""
"thgh","The Other Kitchen (KK)","Noodles","4.3","(19)","Shah Alam",""
"q5at","Restoran Hock Gee Ulu Yam Loh Mee","Noodles","4.6","(1000+)","Shah Alam",""
"ydqc","Mee Hun Kuey @ Success Kopitiam Setia Alam","Noodles","4.5","(82)","Shah Alam",""
"r75c","XLL Malahotpot Restaurant 香辣辣麻辣香锅 (Kota Kemuning)","Asian","4.5","(100+)","Shah Alam",""
"vfg5","BlackBall Mini (Setia Alam)","Desserts","4.8","(100+)","Shah Alam",""
"qkr6","Togather Cafe (Setia Alam)","Chinese","4.7","(100+)","Shah Alam",""
"q6pc","Fu Zhou Noodles @ Success Kopitiam","Noodles","4.3","(100+)","Shah Alam",""
"caei","Ha Ha Dai Shao 虾虾大少","Asian","4","(1)","Shah Alam",""
"ju3d","SPARQ Coffee","Beverages","4.5","(100+)","Shah Alam",""
"zao2","IRON MOI SPICY HOT POT (Kota Kemuning)","Rice Dishes","4.8","(100+)","Shah Alam",""
"r1ln","Restoran Al Shariff (Kota Kemuning)","Malaysian","4.5","(100+)","Shah Alam",""
"ag0e","Sweet bing Fen","Desserts","5","(17)","Shah Alam",""
"o8yt","The Alley (Kota Kemuning)","Tea","4.7","(1000+)","Shah Alam",""
"rwn2","Yi Pin Ba Shu - Jalan Anggerik Vanilla [Non-Halal]","Chinese","5","(12)","Shah Alam",""
"d523","WarungKu (Setia Alam)","Malaysian","4.2","(4)","Shah Alam",""
"dsn1","S One One (Kota Kemuning 1)","Chinese","4.3","(7)","Shah Alam",""
"mfti","Seni Sattisorru Setia Alam","Indian","4.7","(100+)","Shah Alam",""
"e214","Mr. Ho Mixed Rice Restaurant","Chinese","5","(4)","Shah Alam",""
