"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"csuv","Nasi Lemak Kukus Gerai Umi","Malaysian","4.8","(30)","Klang",""
"l2xb","Patmavady indian claypot Curry rice@33 Food Station","Indian","3.7","(5)","Klang",""
"ufeh","AYAM GEBUK MELETUP","Asian","4.8","(100+)","Klang",""
"fiq9","MEE BASAH SABAH","Fried Rice","4.9","(100+)","Klang",""
"ijmb","Golden Dough","Bread","4.8","(100+)","Klang",""
"meie","Yong Tau Foo  Port Swettenham","Malaysian","4.8","(19)","Klang",""
"mhs7","Pandabites (Bukit tinggi)","Pisang Goreng","4.8","(16)","Klang",""
"z96m","Restoran Burhan","Roti Canai","4.6","(100+)","Klang",""
"t0cm","Nyonya Kitchen & Caterers Bayu Perdana","Noodles","4.8","(100+)","Klang",""
"fr1i","P’bod Thai kitchen","Thai","4.7","(100+)","Klang",""
"t1sv","Nasi lemak Saidiah","Nasi Lemak","4.3","(100+)","Klang",""
"o7vs","Satay Vintage Ala-carte","Malaysian","4.7","(15)","Klang",""
"qtx8","BT Fried Chicken","Fried Chicken","4.6","(100+)","Klang",""
"enud","Happy Vegetarian 開心齋","Vegetarian","4.5","(36)","Klang",""
"p1is","Ah Han Bah Kut Teh","Chinese","4.5","(500+)","Klang",""
"n6qt","Love Mom Restaurant","Curry","4.6","(1000+)","Klang",""
"n6ux","Nasi Lalap Afieyah","Chicken","4.4","(1000+)","Klang",""
"r3am","Yum yum chiliung blok f","Chicken","4.1","(100+)","Klang",""
"p6mo","Qalsum Food Stall","Ayam Penyet","4.4","(1000+)","Klang",""
"mcvr","Pulau Ketam Noodle Soup & Porridge (吉胆鱼丸汤-咖喱&潮洲鱼粥)","Noodles","4.2","(78)","Klang",""
"f0ps","SABRINA CAFE","Asian","5","(1)","Klang",""
"lnwe","Ah Seng Vegetarian","Vegetarian","4.5","(26)","Klang",""
"b5t0","Hailam Kopitiam Bayu Perdana","Malaysian","4.8","(500+)","Klang",""
"txjx","（油条之家）UHOME CHAKUEY","Chinese","4.9","(27)","Klang",""
"tde3","Restoran Masakan Jawa","Asian","4.8","(18)","Klang",""
"s3zw","Irdina Delicious","Rice Dishes","4.7","(100+)","Klang",""
"wfh7","GS Chinese Fried Dough Sticks@288 Kopitiam","Chinese","4.5","(87)","Klang",""
