"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"x9dj","Kita Gepuk","Asian","4.7","(100+)","Kajang",""
"s9yx","Restoran Sate Baung","Pisang Goreng","4.5","(2000+)","Kajang",""
"c5c0","Restoran Pokok Kurma Bistro","Roti Canai","4","(500+)","Kajang",""
"mh8d","Samila Tomyam","Thai","4.4","(100+)","Kajang",""
"lv8s","Basil Leaves","Indian","4.5","(500+)","Kajang",""
"q9wy","Restoran Wardah","Fried Rice","4.6","(3000+)","Kajang",""
"fh6b","Restoran Bihun Kuning","Noodles","4.6","(100+)","Kajang",""
"ymmt","Cafe Ustazah","Desserts","4.8","(28)","Kajang",""
"s5bs","Mee Tarik China Muslim","Noodles","4.5","(1000+)","Kajang",""
"s4oi","RESTORAN THAI PAN TOMYAM","Thai","4.6","(5000+)","Kajang",""
"zkii","RESTORAN NASI DAGANG (Terengganu)","Malaysian","4.6","(75)","Kajang",""
"yrzx","XERRABAKES","Malaysian","4.5","(100+)","Kajang",""
"zwrz","Burger King (Kajang Damai)","Asian","4.5","(100+)","Kajang",""
"nhug","Taco Boi","13655 min","4.5","(66)","Kajang",""
"p5mk","Restoran Al-Najum","Malaysian","4.6","(2000+)","Kajang",""
"uksc","Nasi Dulang Daun Pisang (Al Mubarakah)","Asian","4.5","(18)","Kajang",""
"o0p1","PATONG SEAFOOD","Fried Rice","4.3","(500+)","Kajang",""
"jvby","Jin Kare - Sg Long","Japanese","4.7","(61)","Kajang",""
"s1sb","Baskin-Robbins (Shell Bangi SS7)","Desserts","4.8","(1000+)","Kajang",""
"i861","Dinda Bakers","Cakes","4.7","(100+)","Kajang",""
"vrxh","MIXUE TTDI Grove Kajang","Desserts","4.8","(100+)","Kajang",""
"p3is","Bakso Makwo ( Warung Makwo)","Soups","4.6","(500+)","Kajang",""
"giht","Mira Tomyam","Thai","4.6","(500+)","Kajang",""
"xzwt","Restoran Jogja Ayam Gepuk (Bandar Baru Bangi)","Asian","4.6","(500+)","Kajang",""
"tjo4","Restoran Ala Thai & Western (Kajang)","Malaysian","5","(3)","Kajang",""
"ebux","Mix & Fuse Restaurant - Sungai Long","Chinese","3.4","(25)","Kajang",""
"r3bh","Taiwan Tea House (Bandar Sungai Long)","Chinese","4.7","(3000+)","Kajang",""
"ank8","FamilyMart TTDI Grove (Famima)","Asian","4.7","(84)","Kajang",""
"fhug","Lagenda Corner","Fried Rice","4.8","(100+)","Kajang",""
"j08j","D'family Satay Kajang","Malaysian","3.6","(28)","Kajang",""
"px0e","Nasi Ayam Goreng Kunyit ( Cafe Cheesang ) - Kajang Utama","Pancakes & Waffles","4.6","(100+)","Kajang",""
"k4hz","RESTAURANT ANIS TOMYAM","Fried Rice","4.6","(500+)","Kajang",""
"p2qr","CHEESANG COFFEE - Kajang Utama","Pisang Goreng","4.6","(1000+)","Kajang",""
"n1qn","Ayam Kampung Penyet","Malaysian","4.7","(2000+)","Kajang",""
"n0mk","Restoran Seri Kemudi","Roti Canai","4.6","(1000+)","Kajang",""
"swrz","KFD","Malaysian","2.3","(43)","Kajang",""
"p4mx","WAFFLE & COFFEE - Cafe Cheesang (Kajang Utama)","Pancakes & Waffles","4.6","(100+)","Kajang",""
"gk6g","Delicious Shawarma","Fast Food","4.1","(100+)","Kajang",""
"ptga","Restoran Chef Man","Nasi Kukus","4.5","(1000+)","Kajang",""
"kzc3","Amma'S Tasty Kitchen","Indian","2.8","(4)","Kajang",""
"n9xs","Rayhan Bistro","Roti Canai","4.6","(1000+)","Kajang",""
"k3cc","CHEESANG - Pisang Cheese (Kajang Utama)","Asian","4.5","(100+)","Kajang",""
"v9ky","Melawati Kebab","Roti Canai","4.8","(500+)","Kajang",""
"r35t","Kaara Saaram Claypot Restaurant (Kajang)","Chicken","4.6","(100+)","Kajang",""
"z4vh","coffeespace","Italian","5","(32)","Kajang",""
