"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"q8fu","Chef Gemok Cafe","Malaysian","4.7","(1000+)","Puchong",""
"w9oa","orange cafe","Malaysian","4.1","(7)","Puchong",""
"gf9n","SHANTA HOMEMADE FOOD","Indian","4.8","(9)","Puchong",""
"k35b","Leyo Golden Puff Enterprise","Malaysian","5","(4)","Puchong",""
"q0qb","Restoran Benasir","Roti Canai","4.5","(1000+)","Puchong",""
"u23g","Abah Waffle House","Malaysian","4.4","(62)","Puchong",""
"r5ra","Satay & Katering Mak Mah","Chicken","4.6","(100+)","Puchong",""
"u5ue","Official Street Burger (OSB - Mr DIY Puchong Permai)","Burgers","4.8","(100+)","Puchong",""
"xra9","Dapur Berasap","Asian","2.9","(2)","Puchong",""
"bub4","1sensebakery","Cakes","1","(1)","Puchong",""
"tjdi","Spice Up Indian Cuisine","Asian","4.2","(100+)","Puchong",""
"ee67","1 ST NASI LEMAK TASTE","Asian","4.5","(9)","Puchong",""
"f22e","SAMBAL HIJAU PUCHONG PERMAI","Malaysian","4.8","(100+)","Puchong",""
"hfs5","Max Fresh Cafe","Fast Food","4.6","(4)","Puchong",""
"o4nn","Restoran Suricafe","Malaysian","4.7","(1000+)","Puchong",""
"eidw","Abang Chef Kitchen","Malaysian","4.8","(100+)","Puchong",""
"vjvn","Alissara Thai Cuisine","Thai","4.7","(1000+)","Puchong",""
"e6hj","LOPTAKO","Takoyaki","4.5","(100+)","Puchong",""
"hgc2","Laksa Sarawak & Kolo Mee","Chinese","5","(2)","Puchong",""
"d2pp","Mangga Leleh Puchong","Burgers","4.7","(500+)","Puchong",""
"s4cy","T.R.F The Real Food @ Restoran The Unique Taste","Fried Chicken","4.8","(100+)","Puchong",""
"v5dv","Goreng hantu@puteri mart","Chinese","4.1","(100+)","Puchong",""
"yvtv","Gerai Kak Ya","Malaysian","4.3","(62)","Puchong",""
"n0ia","Wanies Shield Out (Puchong)","Fried Rice","4.6","(500+)","Puchong",""
"z9ob","Avocado & Co - Bandar Puteri Puchong","Healthy","3","(1)","Puchong",""
"wpfi","Jaws Corner","Malaysian","4.6","(19)","Puchong",""
"n49l","Mila kitchens","Fried Rice","4.7","(500+)","Puchong",""
"k8oe","TASTY ROAST FISH RESTAURANT","Asian","2.2","(2)","Puchong",""
"al8a","Blue Ginger","Asian","5","(12)","Puchong",""
"n7bd","Brutal Char Kuey Teow","Kuey Teow","4.3","(500+)","Puchong",""
"p8vx","Restaurant Asia Siew Chao","Chinese","4.7","(1000+)","Puchong",""
"we8w","Haikal Tomyam","Fried Rice","4.3","(16)","Puchong",""
"ba1i","Dapo Cukop Indah","Chicken","4.1","(100+)","Puchong",""
"h222","Pin bread 肉干面包（Puchong)","Chicken","5","(93)","Puchong",""
"gii2","Chicken Rice @ Restoran King Huat","Chicken Rice","4.8","(91)","Puchong",""
"g1sz","Roti John Rockstar","Malaysian","4.6","(2000+)","Puchong",""
"m2ov","Leong Kee Steam Rice & Steam Soup","Rice Dishes","4.6","(500+)","Puchong",""
"g6s4","mr pai western","Malaysian","4.6","(500+)","Puchong",""
"h1em","Ba Jet pork noodle (PUCHONG)","Noodles","4.7","(100+)","Puchong",""
"klsb","Relex Portugese Grill (Lotuss Foodcourt Bukit Puchong)","Malaysian","2.2","(5)","Puchong",""
"cr20","Bask Bear Coffee (Taman Puchong Permai)","Sandwiches","4.7","(1000+)","Puchong",""
"go9e","Summer Classic Little's Chef","Asian","3.9","(7)","Puchong",""
"q7fr","Nat Fruit Juice @ Puteri Mart","Juice","4.9","(18)","Puchong",""
"gldu","STORY BOOK CAFE","Vegetarian","5","(2)","Puchong",""
"colh","Nasi Lemak Simpang Empat - Jalan Prima","Malaysian","4.8","(66)","Puchong",""
"c7kx","ONE NOODLE HOUSE","Noodles","4.5","(100+)","Puchong",""
"rn2n","Warung Ibu","Malaysian","4.7","(100+)","Puchong",""
