"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"vi5n","Areej Thai Tomyam","Thai","3.3","(7)","Putrajaya",""
"t3bq","NELAYAN KITCHEN AYER @ 8 PUTRAJAYA","Malaysian","4.4","(99)","Putrajaya",""
"s1al","HOMST (Putrajaya)","Malaysian","4.7","(1000+)","Putrajaya",""
"yka4","Abe Ayam Kampung","Asian","4.6","(100+)","Putrajaya",""
"m419","NY Steak Shack (KPDNHEP Putrajaya)","Chicken","4.3","(18)","Putrajaya",""
"k3qw","Teh Tarik Place (Putrajaya)","Fried Rice","4.6","(500+)","Putrajaya",""
"p9mw","HARTIE 95 WESTERN P8","Fried Rice","4.6","(5000+)","Putrajaya",""
"tet9","Nasi Kerabu Moksu (Taman Warisan)","Asian","4.3","(93)","Putrajaya",""
"xhyb","ITIK SALAI MASTHAR TMN WARISAN PERTANIAN","Malaysian","4.8","(100+)","Putrajaya",""
"h8sw","SATE KAJANG HJ. SAMURI (Putrajaya)","Satay","4.7","(1000+)","Putrajaya",""
"xe9h","AYAM PENYET AP (PUTRAJAYA)","Asian","4.7","(90)","Putrajaya",""
"r2rc","Cendol kawww","Juice","4.7","(1000+)","Putrajaya",""
"phz3","KopiRacun","Beverages","4.9","(8)","Putrajaya",""
"s7dp","Nasi Ayam Hainan Putrajaya","Chicken Rice","4.6","(3000+)","Putrajaya",""
"t9vd","Darussalam (Presint 16)","Roti Canai","4.4","(1000+)","Putrajaya",""
"yqy4","KAFE PAZI CATERER","Asian","3","(20)","Putrajaya",""
"w136","NASI KAKWUOQ (Putrajaya)","Malaysian","4.7","(100+)","Putrajaya",""
"lhn0","D'KAFE","Asian","3.9","(15)","Putrajaya",""
"y8ie","Ani Sup Utara Xpress Putrajaya","Malaysian","4.8","(100+)","Putrajaya",""
"nkv6","Putrajaya Original Coconut Shake - Medan Selera Presint 8","Desserts","5","(34)","Putrajaya",""
"t1rp","Waffle Zone","Pancakes & Waffles","4.6","(500+)","Putrajaya",""
"s8xy","Restoran Medina Thai Tomyam","Asian","4.4","(5000+)","Putrajaya",""
"p011","Old Time Sengkuang Calit","Fast Food","4.6","(100+)","Putrajaya",""
"xelk","Dapur Thai Kak Masita","Fried Rice","4.4","(100+)","Putrajaya",""
"s0fk","WARISAN TOK ABAH","Fried Rice","4.5","(2000+)","Putrajaya",""
"p1oy","FZ Warisan Bistro","Fried Rice","4.5","(4000+)","Putrajaya",""
"i2r2","AYUZI STEAMBOAT YONG TAU FOO (PUTRAJAYA)","Malaysian","4.7","(96)","Putrajaya",""
"x88e","Nasi Ayam Madu Siam (NAMS)","Chicken","4.6","(100+)","Putrajaya",""
"z8sy","Hamid’s Kitchen","Asian","4.9","(42)","Putrajaya",""
"t8sy","Peneroka Burger & Roti John","Burgers","4.9","(87)","Putrajaya",""
"v4un","Nasi Ayam Joholicious","Malaysian","4.6","(100+)","Putrajaya",""
"t3ui","Pak Ngah Ramai Suka@Taman warisan","Chicken","4.6","(500+)","Putrajaya",""
"l2yj","Nasi Lemak Royale Kedah (Putrajaya)","Malaysian","4.7","(5000+)","Putrajaya",""
"bfdi","Warigh Royal Cafe @ Putrajaya","Roti Canai","4.7","(100+)","Putrajaya",""
"b7rb","Sate Selera (Laman Perdana, Putrajaya)","Satay","4.8","(1000+)","Putrajaya",""
"lm7q","Zara Bistro","Roti Canai","4.5","(2000+)","Putrajaya",""
"fmkb","Ayam Goreng Korea HUBMEAL (Putrajaya)","Fast Food","4.3","(100+)","Putrajaya",""
"l3wn","Laksa Ikan Sekoq @ Taman Warisan","Malaysian","4.6","(100+)","Putrajaya",""
"pc1d","ABDULLAH MEETARIK","Malaysian","4.6","(100+)","Putrajaya",""
"czm0","Kuali Warisan","Malaysian","4.3","(20)","Putrajaya",""
"n6jf","Cafe Warisan Station (Putrajaya)","Soups","4.6","(4000+)","Putrajaya",""
"wuac","Unan Roti John (Putrajaya)","Roti Canai","4.7","(100+)","Putrajaya",""
"p7li","Sukamari Presint 8","Chicken","4.6","(2000+)","Putrajaya",""
