"year","month","FoodType","averagerating","totalreview"
"2023","10",Poke Bowl ,3.3,47
"2023","10",Porridge,3.9,109
"2023","10",Ramen,3.5,2
"2023","10",Rice Dishes,3.8,367
"2023","10",Roti Canai,3.6,1484
"2023","10",Salads,3.2,13
"2023","10",Sandwiches,3.9,274
"2023","10",Satay,4.1,100
"2023","10",Seafood,3.9,346
"2023","10",Shawarma,4.2,170
"2023","10",Snacks,3.9,35
"2023","10",Soups,4.0,265
"2023","10",Sushi,3.8,62
"2023","10",Takoyaki,4.2,51
"2023","10",Thai,3.7,644
"2023","10",Tom Yum,3.8,65
"2023","10",Vegetarian,3.9,135
"2023","10",Western,3.9,263
"2023","10",Wraps,3.6,27
"2023","11",American,4.4,5
"2023","11",Asian,3.7,2511
"2023","11",Ayam Penyet,3.9,385
"2023","11",Beverages,3.7,350
"2023","11",Bread,3.6,142
"2023","11",Briyani,3.9,127
"2023","11",Bubble Tea,3.2,48
"2023","11",Burgers,4.3,811
"2023","11",Cakes,4.0,153
"2023","11",Chicken,3.8,2298
"2023","11",Chicken Chop,4.0,101
"2023","11",Chicken Rice,3.8,130
"2023","11",Chinese,3.5,841
"2023","11",Curry,4.1,50
"2023","11",Desserts,3.8,319
"2023","11",Dim Sum ,3.2,17
"2023","11",Dumpling,4.0,31
"2023","11",European,3.9,39
"2023","11",Fast Food,3.2,435
"2023","11",Fried Chicken,3.3,372
"2023","11",Fried Rice,3.8,2113
"2023","11",Fries,3.7,19
"2023","11",Grill,3.5,2
"2023","11",Halal,3.6,8
"2023","11",Healthy,3.8,76
"2023","11",HomeChef,4.8,12
"2023","11",Ice Cream,5.0,2
"2023","11",Indian,3.4,720
"2023","11",International,3.4,38
"2023","11",Italian,3.6,48
"2023","11",Japanese,3.2,133
"2023","11",Juice,4.0,28
"2023","11",Korean,3.6,192
"2023","11",Kuey Teow,3.9,75
"2023","11",Laksa,3.7,147
"2023","11",Malaysian,3.8,6350
"2023","11",Mediterranean,3.9,20
"2023","11",Mee Goreng,4.1,9
"2023","11",Middle Eastern,4.1,296
"2023","11",Nasi Kandar,3.5,382
"2023","11",Nasi Kerabu,3.9,202
"2023","11",Nasi Kukus,4.0,310
"2023","11",Nasi Lemak,3.9,880
"2023","11",Noodles,3.7,433
"2023","11",Pancakes & Waffles,4.0,159
"2023","11",Pasta,3.8,231
"2023","11",Pisang Goreng,4.3,56
"2023","11",Pizza,3.4,131
"2023","11",Poke Bowl ,3.7,29
